Domanda,Testo,Stralcio,Repertorio
Il testo come descrive le caratteristiche cliniche del disturbo da deficit dell’attenzione/iperattività?,"""Disturbo da deficit attentivo/iperattività"" è l'etichetta diagnostica utilizzata per descrivere una popolazione eterogenea e vasta di bambini che presentano una serie di problemi, le cui manifestazioni più evidenti riguardano la difficoltà a mantenere l'attenzione e a controllare l'impulsività e il movimento (nel bambino possono essere presenti entrambi questi aspetti o solo uno di questi ","""Disturbo da deficit attentivo/iperattività"" è l'etichetta diagnostica utilizzata per descrivere una popolazione eterogenea e vasta di bambini che presentano una serie di problemi",SANCIRE 
,,le cui manifestazioni più evidenti riguardano la difficoltà a mantenere l'attenzione e a controllare l'impulsività e il movimento (nel bambino possono essere presenti entrambi questi aspetti o solo uno di questi),SPECIFICAZIONE 
,,L'ADHD si colloca ora nella sezione dei disturbi del neurosviluppo,SANCIRE 
,,e la lista dei sintomi è rimasta inalterata in termini quantitativi,SPECIFICAZIONE 
,,Tuttavia nel DSM-5 sono presenti esempi di sintomatologia distinti per età,SANCIRE 
,,che sicuramente sono d'aiuto al clinico nel considerare gli aspetti evolutivi nella presentazione dell'ADHD,COMMENTO 
,,Una delle novità  di rilievo è l'età di esordio dei sintomi spostata a 12 anni,DESCRIZIONE 
,,(anzichè a 7 come richiesto dal DSM-IV),SPECIFICAZIONE 
,,La scelta dei 7 anni non era basata su evidenza scientifica la soglia dei 12 sta a indicare che il disturbo si manifesta comunque in età evolutiva. ,SANCIRE
,"I sintomi relativi alla disattenzione si riscontrano soprattutto in bambini che, rispetto ai loro coetanei, presentano un evidente difficoltà a rimanere attenti o a lavorare su uno stesso compito per un periodo sufficientemente prolungato. ","I sintomi relativi alla disattenzione si riscontrano soprattutto in bambini che, rispetto ai loro coetanei, presentano un evidente difficoltà a rimanere attenti o a lavorare su uno stesso compito per un periodo sufficientemente prolungato. ",VALUTAZIONE 
,"Diversi autori sostengono che il deficit principale della sindrome sia rappresentato proprio dalla difficoltà di attenzione, che si manifesta sia nella situazioni scolastiche/lavorative, che in quelle sociali. ",Diversi autori sostengono che il deficit principale della sindrome sia rappresentato proprio dalla difficoltà di attenzione,SANCIRE 
,,"che si manifesta sia nella situazioni scolastiche/lavorative, che in quelle sociali. ",SPECIFICAZIONE 
,"Dato che il costrutto di attenzione è multidimensionale (se ne individuano infatti vari tipi: sostenuta, selettiva, divisa, shift, focalizzata), le ultime ricerche semrano concordi nello stabilire che il problema maggiormente evidente dell'ADHD sia il mantenimento dell'attenzione (attenzione sostenuta), soprattutto durante attività ripetitive o noiose. Queste difficoltà si evidenziano anche nelle situazioni ludiche, nelle quali il bambino manifesta frequenti passaggi da un gioco ad un altro, senza completarne nessuno. In molte altre situazioni che richiedono attenzione il bambino con ADHD non presenta però particolari problemi, per cui recentemente l'accento è stato posto sulla difficoltà di autoregolazione e cioè sulla incapacità di regolare autonomamente il proprio comportamento, inclusa l'attenzione.","Dato che il costrutto di attenzione è multidimensionale, le ultime ricerche sembrano concordi nello stabilire che il problema maggiormente evidente dell'ADHD sia il mantenimento dell'attenzione (attenzione sostenuta)",VALUTAZIONE 
,,"(se ne individuano infatti vari tipi: sostenuta, selettiva, divisa, shift, focalizzata)",CONFERMA 
,,soprattutto durante attività ripetitive o noiose,SPECIFICAZIONE 
,,Queste difficoltà si evidenziano anche nelle situazioni ludiche,SANCIRE 
,,"nelle quali il bambino manifesta frequenti passaggi da un gioco ad un altro, senza completarne nessuno. ",SPECIFICAZIONE 
,,"In molte altre situazioni che richiedono attenzione il bambino con ADHD non presenta però particolari problemi, per cui recentemente l'accento è stato posto sulla difficoltà di autoregolazione",VALUTAZIONE 
,,"cioè sulla incapacità di regolare autonomamente il proprio comportamento, inclusa l'attenzione. ",SPECIFICAZIONE 
,"Il bambino con ADHD avrebbe una buona capacità di comportamento eteroregolato (cioè di regolare il proprio comportamento quando viene guidato da altri, soprattutto nella relazione a due adulto-bambino) e incontrerebbe invece difficoltà nel comportamento autoregolato. ",Il bambino con ADHD avrebbe una buona capacità di comportamento eteroregolato  e incontrerebbe invece difficoltà nel comportamento autoregolato. ,SANCIRE 
,,"(cioè di regolare il proprio comportamento quando viene guidato da altri, soprattutto nella relazione a due adulto-bambino)",SPECIFICAZIONE 
,"La seconda caratteristica dell'ADHD (che può essere associata o meno al problema dell'attenzione) è l'iperattività, ovvero un eccessivo livello di attività motoria o vocale. Il bambino con ADHD manifesta continua agitazione, difficoltà a rimanere seduto e fermo al proprio posto: è sempre in movimento sia a scuola che a casa, durante i compiti e il gioco. ",La seconda caratteristica dell'ADHD  è l'iperattività,SANCIRE 
,,(che può essere associata o meno al problema dell'attenzione),POSSIBILITA 
,, ovvero un eccessivo livello di attività motoria o vocale,SPECIFICAZIONE 
,,"Il bambino con ADHD manifesta continua agitazione, difficoltà a rimanere seduto e fermo al proprio posto",SANCIRE 
,,"è sempre in movimento sia a scuola che a casa, durante i compiti e il gioco. ",CONFERMA  
,"Secondo alcuni autori, invece, l'impulsività è la caratteristica distintiva dell'ADHD rispetto ai bambini senza gravi problemi e rispetto agli altri disordini psicologici. L'impulsività è una caratteristica che rimane abbastanza stabile durante lo sviluppo (sebbene conosca diverse forme a seconda dell'età) ed è presente anche negli adulti con ADHD. ","Secondo alcuni autori, invece, l'impulsività è la caratteristica distintiva dell'ADHD rispetto ai bambini senza gravi problemi  e rispetto agli altri disordini psicologici.",SANCIRE 
,,L'impulsività è una caratteristica che rimane abbastanza stabile durante lo sviluppo ed è presente anche negli adulti con ADHD. ,SANCIRE  
,,sebbene conosca diverse forme a seconda dell'età,RIDIMENSIONAMENTO 
,"Iperattività, impulsività e instabilità attentiva di per sé possono non CAUSAre significative conseguenze funzionali, ma quando vi è un vero e proprio disturbo da Deficit Attentivo iperattività le caratteristiche secondarie generano conseguenze negative e breve e lungo termine. ","Iperattività, impulsività e instabilità attentiva di per sé possono non causare significative conseguenze funzionali",POSSIBILITA 
,,ma quando vi è un vero e proprio disturbo da Deficit Attentivo iperattività le caratteristiche secondarie generano conseguenze negative e breve e lungo termine. ,CAUSA
,"Nei bambini con ADHD la mancanza di inibizione e di autocontrollo compromette in modo variabile la gestione di alcune risposte sia comportamentali  che cognitive. In particolare, alcune funzioni hanno un alterato o ritardato sviluppo che si traduce in scarse capaità di organizzazione, di gestione continua dell'impegno e di autoregolazione del comportamento. ",Nei bambini con ADHD la mancanza di inibizione e di autocontrollo compromette in modo variabile la gestione di alcune risposte sia comportamentali che cognitive,CAUSA
,,"In particolare, alcune funzioni hanno un alterato o ritardato sviluppo che si traduce in scarse capacità di organizzazione, di gestione continua dell'impegno e di autoregolazione del comportamento. ",SPECIFICAZIONE 
