Domanda,Testo,Stralcio,Repertorio
Come descriverebbe un trattamento efficace?,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di","un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",COMMENTO
Come descriverebbe un trattamento efficace?,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca","assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",PRESCRIZIONE
Come descriverebbe un trattamento efficace?,"il trattamento più_efficace sarebbe di dare loro più tempo da occupare come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",il trattamento più_efficace sarebbe di dare loro più tempo da occupare,PRESCRIZIONE
Come descriverebbe un trattamento efficace?,"il trattamento più_efficace sarebbe di dare loro più tempo da occupare come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)","come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",SPECIFICAZIONE
Come descriverebbe un trattamento efficace?,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura","un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",PRESCRIZIONE
Come descriverebbe un trattamento efficace?,"quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
","quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
",RIFERIMENTO ALL'OBIETTIVO
Come descriverebbe un trattamento efficace?,quello che tiene_conto della specificità della persona a_cui si rivolge,quello che tiene_conto della specificità della persona a_cui si rivolge,GENERALIZZAZIONE
Come descriverebbe un trattamento efficace?,normalissimo,normalissimo,NON RISPOSTA
Come descriverebbe un trattamento efficace?,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
","impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",CONTRAPPOSIZIONE
Come descriverebbe un trattamento efficace?,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei","possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",COMMENTO
Come descriverebbe un trattamento efficace?,"in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
","in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
",PRESCRIZIONE
Come descriverebbe un trattamento efficace?,utile_per_la_popolaz detenuta,utile_per_la_popolaz detenuta,GENERALIZZAZIONE
Come descriverebbe un trattamento efficace?,"un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
","un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
",OPINIONE
Come descriverebbe un trattamento efficace?,per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti,"per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti
",COMMENTO
Come descriverebbe un trattamento efficace?,"capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
","capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
",VALUTAZIONE
Come descriverebbe un trattamento efficace?,il detenuto non delinqua più,il detenuto non delinqua più,PREVISIONE
Come descriverebbe un trattamento efficace?,un_trattamento dia almeno il 50% dei_risultati positivi,un_trattamento dia almeno il 50% dei_risultati positivi,PREVISIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,importante,importante,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,lavorare all-int dell' istituto,lavorare all-int dell' istituto,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,la-conosco xche-ho-usuf di questa-opport di trattam-ried,la-conosco xche-ho-usuf di questa-opport di trattam-ried,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-l-educ,tr-l-educ,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-interno dell' istituto,l-interno dell' istituto,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-capito,non-ho-capito,DERESPONSABILIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,quando-ero-malato,quando-ero-malato,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr la perman in-carc,attr la perman in-carc,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr la prec-perman in-carc,attr la prec-perman in-carc,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr noi-stessi,tr noi-stessi,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dallo-scritto,dallo-scritto,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalle-lettere e dagli-altri-deten,dalle-lettere e dagli-altri-deten,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"prima parlo con l' assist-sociale, e tutti qui-in-prig dicono che x-stran-e-imposs","prima parlo con l' assist-sociale, ",DERESPONSABILIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"prima parlo con l' assist-sociale, e tutti qui-in-prig dicono che x-stran-e-imposs","e tutti qui-in-prig dicono che x-stran-e-imposs

",DERESPONSABILIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalle-lettere e dagli amici-di-un-altro,dalle-lettere e dagli amici-di-un-altro,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers; io perslmente, in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov","non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers;",IMPLICAZIONI
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers; io perslmente, in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov","io perslmente,",CONFERMA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers; io perslmente, in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov","in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov",NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info di-trattam-rieduc con-la-scuola e fatto con la speranza che mi-aiuta,ho-av-l-info di-trattam-rieduc con-la-scuola,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info di-trattam-rieduc con-la-scuola e fatto con la speranza che mi-aiuta,"e 
fatto con la speranza che mi-aiuta",OPINIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,in una maniera-positiva,in una maniera-positiva,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le opport sono-tante per il trattam-rieduc la prigione uccide-l-anima interiormente la prigione uccide-l-anima interiormente,le opport sono-tante per il trattam-rieduc,COMMENTO
