Domanda,Testo,Stralcio,Repertorio
Come descriverebbe un trattamento efficace?,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",,GIUDIZIO
Come descriverebbe un trattamento efficace?,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",,GIUDIZIO
Come descriverebbe un trattamento efficace?,"il trattamento più_efficace sarebbe di dare loro più tempo da occupare come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)","il trattamento più_efficace sarebbe di dare loro più tempo da occupare come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",PRESCRIZIONE
Come descriverebbe un trattamento efficace?,"il trattamento più_efficace sarebbe di dare loro più tempo da occupare come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",,
Come descriverebbe un trattamento efficace?,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",,DESCRIZIONE
Come descriverebbe un trattamento efficace?,"quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
",,RIFERIMENTO ALL'OBIETTIVO
Come descriverebbe un trattamento efficace?,quello che tiene_conto della specificità della persona a_cui si rivolge,,SANCIRE LA REALTÀ
Come descriverebbe un trattamento efficace?,normalissimo,,NON RISPOSTA
Come descriverebbe un trattamento efficace?,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",,CONTRAPPOSIZIONE
Come descriverebbe un trattamento efficace?,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei","possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio,",CONTRAPPOSIZIONE
Come descriverebbe un trattamento efficace?,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei","poter conoscere il suo ambiente di 
provenienza",DESCRIZIONE
Come descriverebbe un trattamento efficace?,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei","(attraverso la collaborazione con l' ambasciata e /o il servizio 
sociale internazionale eccetera eccetera)",SPECIFICAZIONE
Come descriverebbe un trattamento efficace?,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei","e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",DESCRIZIONE
